Region/State/U.T.,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12
Haryana,1208,1296,1279,1491,1485,1628
Himachal Pradesh,872,967,1016,1145,1251,1289
Jammu and Kashmir,759,795,894,968,988,1015
Punjab,1506,1614,1553,1663,1736,1799
Rajasthan,591,692,747,811,844,927
Uttar Pradesh,341,346,372,387,412,450
Uttaranchal,707,856,921,930,1144,1232
Chandigarh,1487,1557,1247,1239,1283,1217
Delhi,1417,1433,1374,1448,1530,1587
Northern Region,623,666,688,739,776,833
Chattisgarh,935,874,1418,921,1118,1320
Gujarat,1331,1486,1457,1559,1508,1663
Madhya Pradesh,582,623,584,618,674,672
Maharashtra,975,1020,969,1054,1096,1204
Goa,2098,2169,2260,2005,2061,2025
Daman and Diu,8950,9473,6508,7202,7810,7785
Dadra and Nagar Haveli,13310,14787,11094,11709,13367,13767
Western Region,969,1030,1039,1061,1104,1201
Andhra Pradesh,802,877,928,1014,1065,1157
Karnataka,806,844,854,873,925,1081
Kerala,441,444,444,537,551,594
Tamil Nadu,1080,1145,1134,1211,1233,1277
Puducherry,2693,2357,1988,1865,1850,2125
Lakshadweep,402,427,453,429,532,550
Southern Region,837,888,904,972,1010,1098
Bihar,91,101,107,117,127,134
Jharkhand,659,643,696,750,749,790
Orissa,665,752,775,838,1070,1146
West Bengal,397,439,442,515,538,564
A and N Island,458,515,475,506,499,501
Sikkim,533,732,806,845,880,886
Eastern Region,358,388,401,446,493,521
Assam,175,188,199,209,223,250
Manipur,195,222,242,207,242,236
Meghalaya,547,629,655,613,654,658
Nagaland,173,199,226,242,265,257
Tripura,179,202,204,224,222,254
Arunachal Pradesh,299,456,447,503,582,683
Mizoram,163,354,378,429,462,507
N.E. Region,204,229,242,250,268,292
ALL INDIA,672,717,734,779,819,884
